,Gene.Symbol1,Gene.Symbol2,value
315,KLHL8,PANK4,9.77421561919656e-05
316,MIR5705,PANK4,9.77421561919656e-05
317,HSD17B13,PANK4,9.77421561919656e-05
318,HSD17B11,PANK4,9.77421561919656e-05
319,NUDT9,PANK4,9.77421561919656e-05
320,SPARCL1,PANK4,9.77421561919656e-05
321,DSPP,PANK4,9.77421561919656e-05
322,DMP1,PANK4,9.77421561919656e-05
323,MEPE,PANK4,9.77421561919656e-05
324,SPP1,PANK4,9.77421561919656e-05
325,PKD2,PANK4,9.77421561919656e-05
326,ABCG2,PANK4,9.77421561919656e-05
327,PPM1K,PANK4,9.77421561919656e-05
328,HERC6,PANK4,9.77421561919656e-05
329,HERC5,PANK4,9.77421561919656e-05
330,PIGY,PANK4,9.77421561919656e-05
331,PYURF,PANK4,9.77421561919656e-05
332,HERC3,PANK4,9.77421561919656e-05
333,NAP1L5,PANK4,9.77421561919656e-05
334,FAM13A,PANK4,9.77421561919656e-05
335,TIGD2,PANK4,9.77421561919656e-05
336,SNCA,PANK4,9.77421561919656e-05
337,MMRN1,PANK4,9.77421561919656e-05
338,ATOH1,PANK4,9.77421561919656e-05
339,SMARCAD1,PANK4,9.77421561919656e-05
340,HPGDS,PANK4,9.77421561919656e-05
341,PDLIM5,PANK4,9.77421561919656e-05
342,BMPR1B,PANK4,9.77421561919656e-05
343,UNC5C,PANK4,9.77421561919656e-05
344,PDHA2,PANK4,9.77421561919656e-05
345,RAP1GDS1,PANK4,9.77421561919656e-05
346,TSPAN5,PANK4,9.77421561919656e-05
347,METAP1,PANK4,9.77421561919656e-05
348,ADH5,PANK4,9.77421561919656e-05
349,ADH4,PANK4,9.77421561919656e-05
350,ADH6,PANK4,9.77421561919656e-05
351,ADH1A,PANK4,9.77421561919656e-05
352,ADH1C,PANK4,9.77421561919656e-05
353,ADH7,PANK4,9.77421561919656e-05
354,C4orf17,PANK4,9.77421561919656e-05
355,TRMT10A,PANK4,9.77421561919656e-05
356,MTTP,PANK4,9.77421561919656e-05
357,DAPP1,PANK4,9.77421561919656e-05
358,LAMTOR3,PANK4,9.77421561919656e-05
359,DNAJB14,PANK4,9.77421561919656e-05
360,H2AFZ,PANK4,9.77421561919656e-05
361,DDIT4L,PANK4,9.77421561919656e-05
362,EMCN,PANK4,9.77421561919656e-05
363,PPP3CA,PANK4,9.77421561919656e-05
364,SLC39A8,PANK4,9.77421561919656e-05
365,NFKB1,PANK4,9.77421561919656e-05
366,MANBA,PANK4,9.77421561919656e-05
367,UBE2D3,PANK4,9.77421561919656e-05
368,SLC9B1,PANK4,9.77421561919656e-05
369,SLC9B2,PANK4,9.77421561919656e-05
370,CENPE,PANK4,9.77421561919656e-05
371,CXXC4,PANK4,9.77421561919656e-05
372,TET2,PANK4,9.77421561919656e-05
373,PPA2,PANK4,9.77421561919656e-05
374,ARHGEF38,PANK4,9.77421561919656e-05
375,INTS12,PANK4,9.77421561919656e-05
376,GSTCD,PANK4,9.77421561919656e-05
377,NPNT,PANK4,9.77421561919656e-05
378,TBCK,PANK4,9.77421561919656e-05
379,AIMP1,PANK4,9.77421561919656e-05
380,DKK2,PANK4,9.77421561919656e-05
381,PAPSS1,PANK4,9.77421561919656e-05
382,SGMS2,PANK4,9.77421561919656e-05
383,CYP2U1,PANK4,9.77421561919656e-05
384,HADH,PANK4,9.77421561919656e-05
385,LEF1,PANK4,9.77421561919656e-05
386,RPL34,PANK4,9.77421561919656e-05
387,OSTC,PANK4,9.77421561919656e-05
388,ETNPPL,PANK4,9.77421561919656e-05
389,COL25A1,PANK4,9.77421561919656e-05
390,SEC24B,PANK4,9.77421561919656e-05
391,CASP6,PANK4,9.77421561919656e-05
392,PLA2G12A,PANK4,9.77421561919656e-05
393,CFI,PANK4,9.77421561919656e-05
394,GAR1,PANK4,9.77421561919656e-05
395,RRH,PANK4,9.77421561919656e-05
396,LRIT3,PANK4,9.77421561919656e-05
397,EGF,PANK4,9.77421561919656e-05
398,ELOVL6,PANK4,9.77421561919656e-05
399,PITX2,PANK4,9.77421561919656e-05
400,MIR297,PANK4,9.77421561919656e-05
401,AP1AR,PANK4,9.77421561919656e-05
402,ALPK1,PANK4,9.77421561919656e-05
403,NEUROG2,PANK4,9.77421561919656e-05
404,C4orf21,PANK4,9.77421561919656e-05
405,LARP7,PANK4,9.77421561919656e-05
406,MIR367,PANK4,9.77421561919656e-05
407,MIR302D,PANK4,9.77421561919656e-05
408,MIR302A,PANK4,9.77421561919656e-05
409,MIR302C,PANK4,9.77421561919656e-05
410,MIR302B,PANK4,9.77421561919656e-05
411,ANK2,PANK4,9.77421561919656e-05
412,CAMK2D,PANK4,9.77421561919656e-05
413,ARSJ,PANK4,9.77421561919656e-05
414,UGT8,PANK4,9.77421561919656e-05
415,NDST4,PANK4,9.77421561919656e-05
416,PRDM5,PANK4,9.77421561919656e-05
417,LARP1B,PANK4,9.77421561919656e-05
418,PGRMC2,PANK4,9.77421561919656e-05
419,PHF17,PANK4,9.77421561919656e-05
420,SCLT1,PANK4,9.77421561919656e-05
421,C4orf33,PANK4,9.77421561919656e-05
422,PABPC4L,PANK4,9.77421561919656e-05
423,CCRN4L,PANK4,9.77421561919656e-05
424,ELF2,PANK4,9.77421561919656e-05
425,MGARP,PANK4,9.77421561919656e-05
426,NDUFC1,PANK4,9.77421561919656e-05
427,NAA15,PANK4,9.77421561919656e-05
428,RAB33B,PANK4,9.77421561919656e-05
429,SETD7,PANK4,9.77421561919656e-05
430,MGST2,PANK4,9.77421561919656e-05
431,MAML3,PANK4,9.77421561919656e-05
432,SCOC,PANK4,9.77421561919656e-05
433,CLGN,PANK4,9.77421561919656e-05
434,ELMOD2,PANK4,9.77421561919656e-05
435,TBC1D9,PANK4,9.77421561919656e-05
436,RNF150,PANK4,9.77421561919656e-05
437,GAB1,PANK4,9.77421561919656e-05
438,SMARCA5,PANK4,9.77421561919656e-05
439,GUSBP5,PANK4,9.77421561919656e-05
440,FREM3,PANK4,9.77421561919656e-05
441,GYPE,PANK4,9.77421561919656e-05
442,GYPB,PANK4,9.77421561919656e-05
443,GYPA,PANK4,9.77421561919656e-05
444,ABCE1,PANK4,9.77421561919656e-05
445,OTUD4,PANK4,9.77421561919656e-05
446,SMAD1,PANK4,9.77421561919656e-05
447,MMAA,PANK4,9.77421561919656e-05
448,C4orf51,PANK4,9.77421561919656e-05
449,ZNF827,PANK4,9.77421561919656e-05
450,LSM6,PANK4,9.77421561919656e-05
451,SLC10A7,PANK4,9.77421561919656e-05
452,POU4F2,PANK4,9.77421561919656e-05
453,TTC29,PANK4,9.77421561919656e-05
454,MIR548G,PANK4,9.77421561919656e-05
455,EDNRA,PANK4,9.77421561919656e-05
456,PRMT10,PANK4,9.77421561919656e-05
457,ARHGAP10,PANK4,9.77421561919656e-05
458,NR3C2,PANK4,9.77421561919656e-05
459,DCLK2,PANK4,9.77421561919656e-05
460,LRBA,PANK4,9.77421561919656e-05
461,MAB21L2,PANK4,9.77421561919656e-05
462,RPS3A,PANK4,9.77421561919656e-05
463,SH3D19,PANK4,9.77421561919656e-05
464,PRSS48,PANK4,9.77421561919656e-05
465,FAM160A1,PANK4,9.77421561919656e-05
466,RBM46,PANK4,9.77421561919656e-05
467,NPY2R,PANK4,9.77421561919656e-05
468,MAP9,PANK4,9.77421561919656e-05
469,GUCY1A3,PANK4,9.77421561919656e-05
470,GUCY1B3,PANK4,9.77421561919656e-05
471,ASIC5,PANK4,9.77421561919656e-05
472,TDO2,PANK4,9.77421561919656e-05
473,CTSO,PANK4,9.77421561919656e-05
474,GLRB,PANK4,9.77421561919656e-05
475,GRIA2,PANK4,9.77421561919656e-05
476,FAM198B,PANK4,9.77421561919656e-05
477,TMEM144,PANK4,9.77421561919656e-05
478,RXFP1,PANK4,9.77421561919656e-05
479,C4orf46,PANK4,9.77421561919656e-05
480,ETFDH,PANK4,9.77421561919656e-05
481,PPID,PANK4,9.77421561919656e-05
482,FNIP2,PANK4,9.77421561919656e-05
483,RAPGEF2,PANK4,9.77421561919656e-05
484,FSTL5,PANK4,9.77421561919656e-05
485,NAF1,PANK4,9.77421561919656e-05
486,NPY1R,PANK4,9.77421561919656e-05
487,NPY5R,PANK4,9.77421561919656e-05
488,TKTL2,PANK4,9.77421561919656e-05
489,TMA16,PANK4,9.77421561919656e-05
490,MARCH1,PANK4,9.77421561919656e-05
491,TRIM61,PANK4,9.77421561919656e-05
492,FAM218A,PANK4,9.77421561919656e-05
493,TRIM60,PANK4,9.77421561919656e-05
494,KLHL2,PANK4,9.77421561919656e-05
495,MSMO1,PANK4,9.77421561919656e-05
496,CPE,PANK4,9.77421561919656e-05
497,TLL1,PANK4,9.77421561919656e-05
498,SPOCK3,PANK4,9.77421561919656e-05
499,ANXA10,PANK4,9.77421561919656e-05
500,DDX60,PANK4,9.77421561919656e-05
501,DDX60L,PANK4,9.77421561919656e-05
502,PALLD,PANK4,9.77421561919656e-05
503,CBR4,PANK4,9.77421561919656e-05
504,SH3RF1,PANK4,9.77421561919656e-05
505,NEK1,PANK4,9.77421561919656e-05
506,CLCN3,PANK4,9.77421561919656e-05
507,C4orf27,PANK4,9.77421561919656e-05
508,MFAP3L,PANK4,9.77421561919656e-05
509,AADAT,PANK4,9.77421561919656e-05
510,SMN2,PANK4,9.77421561919656e-05
511,OR4F3,PANK4,9.77421561919656e-05
512,DAP,PANK4,9.77421561919656e-05
513,CTNND2,PANK4,9.77421561919656e-05
514,DNAH5,PANK4,9.77421561919656e-05
515,TRIO,PANK4,9.77421561919656e-05
516,FAM105B,PANK4,9.77421561919656e-05
517,ANKH,PANK4,9.77421561919656e-05
518,FBXL7,PANK4,9.77421561919656e-05
519,MARCH11,PANK4,9.77421561919656e-05
520,ZNF622,PANK4,9.77421561919656e-05
521,FAM134B,PANK4,9.77421561919656e-05
522,MYO10,PANK4,9.77421561919656e-05
523,PARP8,PANK4,9.77421561919656e-05
524,ISL1,PANK4,9.77421561919656e-05
525,FST,PANK4,9.77421561919656e-05
526,NDUFS4,PANK4,9.77421561919656e-05
527,PLK2,PANK4,9.77421561919656e-05
528,MIR548AE2,PANK4,9.77421561919656e-05
529,RAB3C,PANK4,9.77421561919656e-05
530,PART1,PANK4,9.77421561919656e-05
531,DEPDC1B,PANK4,9.77421561919656e-05
532,ELOVL7,PANK4,9.77421561919656e-05
533,ERCC8,PANK4,9.77421561919656e-05
534,NDUFAF2,PANK4,9.77421561919656e-05
535,SMIM15,PANK4,9.77421561919656e-05
536,ZSWIM6,PANK4,9.77421561919656e-05
537,C5orf64,PANK4,9.77421561919656e-05
538,DIMT1,PANK4,9.77421561919656e-05
539,IPO11,PANK4,9.77421561919656e-05
540,LRRC70,PANK4,9.77421561919656e-05
541,RNF180,PANK4,9.77421561919656e-05
542,RGS7BP,PANK4,9.77421561919656e-05
543,FAM159B,PANK4,9.77421561919656e-05
544,SREK1IP1,PANK4,9.77421561919656e-05
545,CWC27,PANK4,9.77421561919656e-05
546,ADAMTS6,PANK4,9.77421561919656e-05
547,CENPK,PANK4,9.77421561919656e-05
548,PPWD1,PANK4,9.77421561919656e-05
549,TRIM23,PANK4,9.77421561919656e-05
550,TRAPPC13,PANK4,9.77421561919656e-05
551,SGTB,PANK4,9.77421561919656e-05
552,NLN,PANK4,9.77421561919656e-05
553,ERBB2IP,PANK4,9.77421561919656e-05
554,SREK1,PANK4,9.77421561919656e-05
555,MAST4,PANK4,9.77421561919656e-05
556,CD180,PANK4,9.77421561919656e-05
557,SLC30A5,PANK4,9.77421561919656e-05
558,CCNB1,PANK4,9.77421561919656e-05
559,CENPH,PANK4,9.77421561919656e-05
560,MRPS36,PANK4,9.77421561919656e-05
561,CDK7,PANK4,9.77421561919656e-05
562,CCDC125,PANK4,9.77421561919656e-05
563,TAF9,PANK4,9.77421561919656e-05
564,RAD17,PANK4,9.77421561919656e-05
565,MARVELD2,PANK4,9.77421561919656e-05
566,OCLN,PANK4,9.77421561919656e-05
567,GTF2H2C,PANK4,9.77421561919656e-05
568,SERF1A,PANK4,9.77421561919656e-05
569,SERF1B,PANK4,9.77421561919656e-05
570,SMN1,PANK4,9.77421561919656e-05
571,GTF2H2,PANK4,9.77421561919656e-05
572,NAIP,PANK4,9.77421561919656e-05
573,TENM2,PANK4,9.77421561919656e-05
574,WWC1,PANK4,9.77421561919656e-05
575,RARS,PANK4,9.77421561919656e-05
576,RUFY1,PANK4,9.77421561919656e-05
577,HNRNPH1,PANK4,9.77421561919656e-05
578,C5orf60,PANK4,9.77421561919656e-05
579,CBY3,PANK4,9.77421561919656e-05
580,CANX,PANK4,9.77421561919656e-05
581,MAML1,PANK4,9.77421561919656e-05
582,LTC4S,PANK4,9.77421561919656e-05
